person_id,license_plate,vin,color,year
81d9564f-1d34-43c6-8ea0-29273f945d4e,NX6 A2R,3EC1VUUN6NJV2EG7W,Azure,1972
5715789d-363c-4f99-9379-602312b785db,FE-9511,8KAR56559M9E16XZE,LightCoral,2002
5715789d-363c-4f99-9379-602312b785db,475 IYC,ZRE2CC9R32UMTE2J9,MediumOrchid,1974
5715789d-363c-4f99-9379-602312b785db,JZB-867,6BXB7AP83DK3G0K7H,LightSalmon,1994
26c40640-e3a0-42d7-827f-a3cb872d9456,ZD4 9909,26E4M6YJ9KZST72X9,Tan,2008
26c40640-e3a0-42d7-827f-a3cb872d9456,7WL 399,X4FNHB884EJZ7JKG3,OldLace,2020
26c40640-e3a0-42d7-827f-a3cb872d9456,ITC-3066,A1C4E33Z8JH8Y95XR,Lavender,2021
b1f9e268-6028-48fe-945e-afef83fe4e15,397KJW,NYD2EH331G2GENMVT,LightSlateGray,2023
b1f9e268-6028-48fe-945e-afef83fe4e15,VLX-1768,XD9AXR173V5C526W9,BlueViolet,1988
b1f9e268-6028-48fe-945e-afef83fe4e15,7OA5532,CYTSPLKU15JLPX3FH,LightSeaGreen,1999
07bacc92-33a8-48bc-ad87-1d19eb6c9c07,WM7 Q5W,0PSC0C9G9DSSLV00A,Black,1986
07bacc92-33a8-48bc-ad87-1d19eb6c9c07,PH 75919,LP6HVTCL7JCVEDZPP,Lime,2015
fb46532e-5659-48ae-b3e7-06f9eea91748,181 LIQ,4W112FAAX5JZMCRGY,LightYellow,1994
1dd75624-ae3d-44b2-8081-8bbc61c24ec6,QTU-9172,X71LT8YR5L7YE5NGU,DarkSlateGray,1998
1dd75624-ae3d-44b2-8081-8bbc61c24ec6,5-62585,JY85S4VN15E9FATV4,DarkOrange,1975
74920d04-90bc-49ad-b736-5a327edeeddf,HSP-474,SM78P6UB3WF8KNXR2,LightSteelBlue,2021
74920d04-90bc-49ad-b736-5a327edeeddf,859-JIA,8TN522E30M3LVG6G0,Cornsilk,1992
9c53c461-b10e-40df-b36c-62ed967c3dbc,5MA Z86,ZB9HRW5S6R09AK02H,NavajoWhite,2013
13df2cf9-1824-4a68-98a6-964a99a8f141,5M962,TZX9TJKL37E0FJJZF,Fuchsia,2006
13df2cf9-1824-4a68-98a6-964a99a8f141,SIZ 276,0FV08EK85EJG97E7V,GreenYellow,2005
62198ded-e136-49da-8132-45a88172f98e,HGB8382,MPY5EZ1E7NUXBBUJY,LightYellow,1989
4d0e6b6e-29ca-4607-b944-899c60af159e,D06 3IP,L81J0CBC079YKBJP1,MediumTurquoise,2009
4d0e6b6e-29ca-4607-b944-899c60af159e,378-556,V2TYKS5K9EZ6A97KH,Chartreuse,2002
4d6fdfdc-534f-4e25-a16c-762c9b3d4963,347 XOM,VPGUHXWJ8FCAPC39D,Gold,1988
09db071b-2309-4e4b-8681-fa6791073ef3,497595,TRNBSHF0XZ1X9SBEN,IndianRed,1985
09db071b-2309-4e4b-8681-fa6791073ef3,R76 9BH,5G325S4V8LYLYC74E,RoyalBlue,1990
2f6b3f83-01be-4bf5-a269-2ce1d023c877,HPD7209,EA2LLLR134PJENZ9K,MediumVioletRed,1985
7a76d215-8f62-4ce1-98ec-91b14d237f77,8FJ6092,1MD05VE9X8Y64469K,DarkOliveGreen,1978
0480c169-508b-48fd-9005-624cab7c72d9,095ZFR,HM16NKFL66YD4WAKZ,OrangeRed,2012
0480c169-508b-48fd-9005-624cab7c72d9,52-U749,2Y2WE6D6X7489S4RH,DarkMagenta,1985
e88c4cf2-a6b8-4e40-83a4-923af527c44e,492-UFR,6KPFNM0N8CA5KSP3K,DeepPink,2006
e88c4cf2-a6b8-4e40-83a4-923af527c44e,70B•564,BJSC2AM77V9950FFF,DeepSkyBlue,2018
f33e24d8-6772-4f5b-bf6e-d1da5ba41329,002GPU,CB1WXB970R30RESTV,Indigo,2012
7eede10e-8496-4d73-ac40-9464e206535f,VGE5663,YJFYJX0K3ESYDUK3R,MediumTurquoise,1976
7eede10e-8496-4d73-ac40-9464e206535f,95K T89,3JRGZNMP89XW0ET5W,SlateGray,1980
6d50b58e-6441-41ac-bc73-c642d1000f0b,25Z M22,7H6DZYYA17H6DA6X5,DarkGreen,2013
ae5f28d2-9756-4a94-bc33-2dbe0a645454,7HHN 86,5S35GV3H7HDKKD2C5,DarkGreen,2003
b32e3dfb-78e1-47ae-ab0f-4f4d55fe4738,427-LUM,S1B25PKH3YFGK131C,GhostWhite,1999
b32e3dfb-78e1-47ae-ab0f-4f4d55fe4738,2X HJ637,TPM6SCYR3DVFB7373,MediumAquaMarine,2003
b32e3dfb-78e1-47ae-ab0f-4f4d55fe4738,JFI-823,BMML46CF9JPKXXV6T,GreenYellow,1976
0e67bfeb-8fcc-46b0-b7e1-9684838a6701,BW9 5055,JBJKUVU73V78YSUBB,ForestGreen,1985
